Company_Name,Website,Location,Minimum Project Size,Average Hourly Rate,Number of Employees,Percent AI Service Focus,Ciudad,Estado,Pais,Disponibilidad_MinProject,Disponibilidad_HourlyRate,Employees_Num,Tamaño_Empleados,Clasificación por número de empleados,Tipo de proveedor / segmento de análisis,Segmentación servicios AI,Descripción Segmentación,Clasificación por regiones,Transparencia_Comercial,continent,country,iso_code,conteo_pais
ShatavaDigitalStudio,https://shatava.com/en/,"Sumy, Ukraine","$5,000+",$25 - $49 / hr,10 - 49,30%,Sumy,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
CasaleggioAssociati,https://www.casaleggio.it/,"Milano, Italy",Undisclosed,Undisclosed,10 - 49,25%,Milano,,Italy,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,Italy,ITA,18
Gigster,https://gigster.com/,"San Francisco, CA",Undisclosed,Undisclosed,10 - 49,25%,San Francisco,CA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
E2OPENShanghai,http://www.e2open.com/,"Shanghai, China",Undisclosed,Undisclosed,10 - 49,25%,Shanghai,,China,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,China,China,87
UrbanTide,https://urbantide.com/,"Edinburgh, United Kingdom",Undisclosed,Undisclosed,2 - 9,35%,Edinburgh,,United Kingdom,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,United Kingdom,GBR,304
Qwertee.io,https://www.qwertee.io,"Cluj-Napoca, Romania","$50,000+",$50 - $99 / hr,2 - 9,35%,Cluj-Napoca,,Romania,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Romania,ROU,27
Prodequa,https://prodequa.com/,"Lima, Peru","$5,000+",$25 - $49 / hr,10 - 49,30%,Lima,,Peru,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,2,South America,Peru,PER,7
EigenInnovationsInc.,https://eigen.io/the-eigen-solution/,"Fredericton, Canada",Undisclosed,Undisclosed,10 - 49,30%,Fredericton,,Canada,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,Canada,CAN,126
Hishab,http://www.hishab.co/,"Dhaka, Bangladesh",Undisclosed,Undisclosed,10 - 49,30%,Dhaka,,Bangladesh,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,Bangladesh,BGD,19
Airts,http://www.airts.co.uk,"Edinburgh, United Kingdom",Undisclosed,Undisclosed,10 - 49,30%,Edinburgh,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,United Kingdom,GBR,304
HyperAspect,http://www.hyperaspect.com,"Sofia, Bulgaria","$25,000+",$50 - $99 / hr,10 - 49,30%,Sofia,,Bulgaria,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Bulgaria,BGR,20
HDataSystems,https://www.hdatasystems.com/,"Ahmedabad, India","$10,000+",< $25 / hr,10 - 49,30%,Ahmedabad,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
M>,https://www.mgt-consulting.com/,"Madrid, Spain",Undisclosed,Undisclosed,10 - 49,30%,Madrid,,Spain,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,Spain,ESP,29
Emser,http://www.emser.net/,"Cordoba, Argentina",Undisclosed,Undisclosed,10 - 49,30%,Cordoba,,Argentina,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,0,South America,Argentina,ARG,29
"WisdomTreeTechnologies,LLC",https://www.wttnae.com/,"Murray, KY",Undisclosed,Undisclosed,10 - 49,30%,Murray,KY,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
Navteca,https://www.navteca.com/,"Bethesda, MD",Undisclosed,Undisclosed,10 - 49,30%,Bethesda,MD,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
WawAsiaCorpJSC,https://waw.asia/,"New York, NY","$25,000+",< $25 / hr,10 - 49,30%,New York,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
TeamExtensionSRL,https://teamextension.lv/,"București, Romania","$10,000+",$100 - $149 / hr,50 - 249,25%,București,,Romania,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Romania,ROU,27
IAGOTechnologie,https://iagotechnologie.fr/,"Péronne-en-Mélantois, France","$5,000+",$100 - $149 / hr,2 - 9,50%,Péronne-en-Mélantois,,France,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,France,FRA,14
ActionX,https://www.actionx.com.au/,"Macquarie Park, Australia",Undisclosed,Undisclosed,2 - 9,50%,Macquarie Park,,Australia,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Oceanía,0,Oceania,Australia,AUS,96
Astraoutsourcing,http://astraoutsourcing.com/,"Kyiv, Ukraine","$1,000+",$25 - $49 / hr,2 - 9,50%,Kyiv,,Ukraine,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Ukraine,UKR,92
m1ESolutions,http://www.m1esolutions.com/,"Sugar Hill, GA",Undisclosed,Undisclosed,2 - 9,50%,Sugar Hill,GA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
YannayTechnologies,http://www.yannaytech.com/,"Alpharetta, GA",Undisclosed,Undisclosed,2 - 9,50%,Alpharetta,GA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
TechDelegatesInc,http://techdelegates.com,"South Plainfield, NJ",Undisclosed,Undisclosed,2 - 9,50%,South Plainfield,NJ,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
Engage&Echo,http://www.engageecho.com,"Randolph, NJ",Undisclosed,Undisclosed,2 - 9,50%,Randolph,NJ,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
PueoBusinessSolutionsLLC,https://www.pueo.com/,"Fredericksburg, VA",Undisclosed,Undisclosed,50 - 249,25%,Fredericksburg,VA,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
AzanaTechInc.,https://www.azanatech.com/,"Sandy Springs, GA",Undisclosed,Undisclosed,2 - 9,50%,Sandy Springs,GA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
ATownData,https://atowndata.com/,"Atlanta, GA",Undisclosed,Undisclosed,2 - 9,50%,Atlanta,GA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
Innovature,https://innovature.ai/,"Kanda Jimbocho, Japan","$5,000+",$25 - $49 / hr,50 - 249,25%,Kanda Jimbocho,,Japan,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Japan,Japan,8
SIGlobalSolutions,http://www.sigbl.com,"Karachi, Pakistan","$5,000+",$25 - $49 / hr,50 - 249,20%,Karachi,,Pakistan,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Pakistan,PAK,61
DeepInfoLab,https://www.deepinfolab.com,"Pune, India","$1,000+",$50 - $99 / hr,2 - 9,50%,Pune,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
Thadeus.AI-BespokeAISolutions,http://thadeus.ai,"Kraków, Poland","$10,000+",$50 - $99 / hr,2 - 9,50%,Kraków,,Poland,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Poland,POL,147
"DATUM,S.A.DEC.V.",https://www.datumredsoft.com/,"San Salvador, El Salvador",Undisclosed,Undisclosed,50 - 249,25%,San Salvador,,El Salvador,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Centroamérica,0,Central America,El Salvador,El Salvador,5
ninecoves,https://ninecoves.com/,"Thousand Oaks, CA",Undisclosed,Undisclosed,2 - 9,50%,Thousand Oaks,CA,USA,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",América del Norte,0,North America,USA,USA,917
RobotLegionDigital,https://www.robotlegion.com.au,"Melbourne, Australia",Undisclosed,Undisclosed,2 - 9,50%,Melbourne,,Australia,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Oceanía,0,Oceania,Australia,AUS,96
Ticasgest,http://www.ticasgest.pt/,"Carnaxide, Portugal",Undisclosed,Undisclosed,2 - 9,50%,Carnaxide,,Portugal,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,Portugal,PRT,9
BrandProtection.ai,https://brandprotection.ai,"Kyiv, Ukraine","$5,000+",Undisclosed,2 - 9,50%,Kyiv,,Ukraine,Informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,1,Europe,Ukraine,UKR,92
ELVAAI,https://elvaai.com/,"San José, Costa Rica","$25,000+",$25 - $49 / hr,2 - 9,50%,San José,,Costa Rica,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Centroamérica,2,Central America,Costa Rica,Costa Rica,9
Meaningfy,http://meaningfy.ws,"Lintgen, Luxembourg","$50,000+",$50 - $99 / hr,2 - 9,50%,Lintgen,,Luxembourg,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,2,Europe,Luxembourg,LUX,1
ŠkerlakData+Analytics,http://www.skerlak.ch/,"Zürich, Switzerland",Undisclosed,Undisclosed,2 - 9,50%,Zürich,,Switzerland,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,Switzerland,CHE,21
"ShenzhenYoucaiTechnologyCo.,Ltd.",https://www.szuckj.com/,"Shenzhen, China",Undisclosed,Undisclosed,2 - 9,50%,Shenzhen,,China,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,0,Asia,China,China,87
TesseractTechnoLabs,https://www.tesseracttchnolabs.com/,"Ahmedabad, India","$1,000+",< $25 / hr,2 - 9,50%,Ahmedabad,,India,Informado,Informado,9,2 - 9,Micro Empresa,SMB,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
VoiceContactCenter,http://www.oex-vcc.com,"Warszawa, Poland",Undisclosed,Undisclosed,"1,000 - 9,999",10%,Warszawa,,Poland,No informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,0,Europe,Poland,POL,147
DadenLtd,http://www.daden.co.uk/,"Birmingham, United Kingdom",Undisclosed,Undisclosed,2 - 9,30%,Birmingham,,United Kingdom,No informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,United Kingdom,GBR,304
DynamicsSquareUK,https://www.dynamicssquare.co.uk/,"Islington, United Kingdom","$10,000+",$200 - $300 / hr,50 - 249,10%,Islington,,United Kingdom,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,United Kingdom,GBR,304
ExperfyInc,http://www.experfy.com,"Boston, MA","$5,000+",$100 - $149 / hr,10 - 49,25%,Boston,MA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
SoupToNutsApps,https://s2napps.com/,"Los Angeles, CA","$25,000+",$100 - $149 / hr,10 - 49,40%,Los Angeles,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
VigilantTechnologiesLLC,https://vigilant-inc.com/,"Troy, MI",Undisclosed,Undisclosed,250 - 999,15%,Troy,MI,USA,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
PwCDataAnalytics,https://www.pwc.pl/en/services/data-analytics.html,"Warszawa, Poland","$25,000+",Undisclosed,"1,000 - 9,999",10%,Warszawa,,Poland,Informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,1,Europe,Poland,POL,147
EACOMMCorporation,https://www.eacomm.com/,"Quezon City, Philippines","$10,000+",$100 - $149 / hr,10 - 49,25%,Quezon City,,Philippines,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Philippines,PHL,6
MerlinOne,https://merlinone.com/,"Quincy, MA",Undisclosed,Undisclosed,10 - 49,25%,Quincy,MA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
QualityProfessionals,https://q-pros.com,"Houston, TX",Undisclosed,Undisclosed,50 - 249,20%,Houston,TX,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
"Accenture(China)Co.,Ltd.",https://www.accenture.com/cn-en,"Hong Kong, Hong Kong",Undisclosed,Undisclosed,"1,000 - 9,999",10%,Hong Kong,,Hong Kong,No informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,0,Asia,Hong Kong,HKG,12
[x]cubeLABS,https://www.xcubelabs.com/,"Dallas, TX","$25,000+",$50 - $99 / hr,250 - 999,10%,Dallas,TX,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
GramenerTechnologySolutions,https://gramener.com/,"Hyderabad, India",Undisclosed,Undisclosed,50 - 249,20%,Hyderabad,,India,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,India,IND,441
Oursky,https://oursky.com/,"Kowloon, Hong Kong","$25,000+",$100 - $149 / hr,50 - 249,20%,Kowloon,,Hong Kong,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,Hong Kong,HKG,12
EverString,https://www.everstring.com/,"San Mateo, CA","$5,000+",$100 - $149 / hr,50 - 249,20%,San Mateo,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
AxiomZen,http://www.axiomzen.co/,"Vancouver, Canada",Undisclosed,Undisclosed,50 - 249,20%,Vancouver,,Canada,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,Canada,CAN,126
Kinetica,http://www.kinetica.com,"San Francisco, CA",Undisclosed,Undisclosed,50 - 249,20%,San Francisco,CA,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
ImperialResourceGroup,https://www.imperialresourcegroup.com/,"Macon, GA",Undisclosed,Undisclosed,10 - 49,30%,Macon,GA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
Vitwit,https://www.vitwit.com/,"Madhapur, India","$10,000+",$25 - $49 / hr,10 - 49,30%,Madhapur,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
AdagioConsultores,https://adagio.com.uy/,"Montevideo, Uruguay",Undisclosed,Undisclosed,10 - 49,30%,Montevideo,,Uruguay,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,0,South America,Uruguay,URY,22
ReputaciónDigital,https://reputacion.digital/,"Cordoba, Argentina",Undisclosed,Undisclosed,10 - 49,30%,Cordoba,,Argentina,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Sur,0,South America,Argentina,ARG,29
ElectiConsulting,https://electiconsulting.com,"London, United Kingdom","$25,000+",$100 - $149 / hr,10 - 49,30%,London,,United Kingdom,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,United Kingdom,GBR,304
DataProducts,https://dataproducts.io/,"Chicago, IL","$50,000+",Undisclosed,10 - 49,30%,Chicago,IL,USA,Informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,1,North America,USA,USA,917
Brainnwave,https://brainnwave.ai/,"Edinburgh, United Kingdom",Undisclosed,Undisclosed,10 - 49,30%,Edinburgh,,United Kingdom,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,United Kingdom,GBR,304
DirelliLLC,https://direlli.com/,"Yerevan, Armenia","$5,000+",$25 - $49 / hr,10 - 49,10%,Yerevan,,Armenia,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,Armenia,ARM,11
DeepLearningPartnership,http://www.deeplp.com/,"London, United Kingdom",Undisclosed,Undisclosed,Freelancer,50%,London,,United Kingdom,No informado,No informado,0,No informado,No aplica,Freelancer,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Europa,0,Europe,United Kingdom,GBR,304
Agmis,http://www.agmis.eu,"Kaunas, Lithuania",Undisclosed,Undisclosed,50 - 249,25%,Kaunas,,Lithuania,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,Lithuania,LTU,12
findfacts,https://www.findfacts.in/,"Hyderabad, India","$1,000+",$25 - $49 / hr,Freelancer,50%,Hyderabad,,India,Informado,Informado,0,No informado,No aplica,Freelancer,AI Focus,"Empresa con especialización destacada en IA, representa más de la mitad de su actividad",Asia,2,Asia,India,IND,441
StraViso,https://straviso.com,"Frisco, TX",Undisclosed,Undisclosed,50 - 249,25%,Frisco,TX,USA,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
Innovior,https://www.innovior.com/,"Melbourne, Australia",Undisclosed,Undisclosed,50 - 249,25%,Melbourne,,Australia,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Oceanía,0,Oceania,Australia,AUS,96
"DelawareManagedServicesandITConsulting,Inc",https://www.delaware.pro/en-PH,"Taguig, Philippines",Undisclosed,Undisclosed,10 - 49,25%,Taguig,,Philippines,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,0,Asia,Philippines,PHL,6
"EasyAskTechnologies,Inc.",https://www.easyask.com/,"Burlington, MA",Undisclosed,Undisclosed,10 - 49,25%,Burlington,MA,USA,No informado,No informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,0,North America,USA,USA,917
HungryBytes,http://hungrybytes.co/,"Iași, Romania","$10,000+",$50 - $99 / hr,10 - 49,10%,Iași,,Romania,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Europa,2,Europe,Romania,ROU,27
Adimen,https://adimen.tech,"Odesa, Ukraine","$5,000+",$25 - $49 / hr,10 - 49,30%,Odesa,,Ukraine,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,2,Europe,Ukraine,UKR,92
B12,https://www.b12.io/free-draft,"New York, NY","$1,000+",$50 - $99 / hr,10 - 49,20%,New York,NY,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
"Devfi,Inc",https://www.devfi.com,"Columbus, OH","$10,000+",$50 - $99 / hr,250 - 999,20%,Columbus,OH,USA,Informado,Informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
ZingboxInc.,http://www.zingbox.com,"Mountain View, CA","$5,000+",$50 - $99 / hr,50 - 249,20%,Mountain View,CA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
NewH3CGroup,http://www.h3c.com/en/,"Beijing, China","$5,000+",$100 - $149 / hr,"1,000 - 9,999",10%,Beijing,,China,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,Asia,2,Asia,China,China,87
ACLDigital,https://www.acldigital.com,"San Jose, CA","$5,000+",$50 - $99 / hr,"1,000 - 9,999",10%,San Jose,CA,USA,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
AlexandraInstituttet,https://alexandra.dk/about-the-alexandra-institute/,"Copenhagen, Denmark",Undisclosed,Undisclosed,50 - 249,20%,Copenhagen,,Denmark,No informado,No informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,0,Europe,Denmark,DNK,6
SiliconValleySoftwareGroup,http://svsg.co,"Santa Monica, CA","$10,000+",$100 - $149 / hr,10 - 49,25%,Santa Monica,CA,USA,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
TheDataScientist,https://thedatascientist.com/,"London, United Kingdom","$1,000+",Undisclosed,2 - 9,30%,London,,United Kingdom,Informado,No informado,9,2 - 9,Micro Empresa,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Europa,1,Europe,United Kingdom,GBR,304
RoyalCyber,https://www.royalcyber.com/,"Naperville, IL",Undisclosed,Undisclosed,250 - 999,10%,Naperville,IL,USA,No informado,No informado,999,250 - 999,Empresa grande/fuera SME,Mid-market,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,0,North America,USA,USA,917
CornerStoneSolutions,https://cornerstonesolutiononline.com/contact,"Indore, India","$50,000+",< $25 / hr,10 - 49,31%,Indore,,India,Informado,Informado,49,10 - 49,Empresa pequeña ,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,Asia,2,Asia,India,IND,441
SymphonyVentures,https://www.symphonyhq.com/,"Boston, MA","$1,000+",< $25 / hr,50 - 249,20%,Boston,MA,USA,Informado,Informado,249,50 - 249,Empresa mediana/ SME,SMB,AI Service complementary, Empresa diversificada que ofrece IA como una línea de servicio complementaria,América del Norte,2,North America,USA,USA,917
ThunderSoft,http://www.thundersoft.com/index.php,"Milpitas, CA","$5,000+",$100 - $149 / hr,"1,000 - 9,999",10%,Milpitas,CA,USA,Informado,Informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Norte,2,North America,USA,USA,917
BRQ,http://www.brq.com/,"SÃO PAULO, Brazil",Undisclosed,Undisclosed,"1,000 - 9,999",10%,SÃO PAULO,,Brazil,No informado,No informado,9999,1000 - 9999,Empresa grande /fuera SM,Enterprise,AI Service residual,Empresa diversificada cuya participación de IA es limitada o residual,América del Sur,0,South America,Brazil,BRA,21
